DATE,ret_m
20121224,-0.002205
20121226,-0.004965
20121227,-0.000677
20121228,-0.009283
20121231,0.016434
20130102,0.025006
20130103,-0.001906
20130104,0.005628
20130107,-0.002555
20130108,-0.002216
20130109,0.003403
20130110,0.006804
20130111,0.000247
20130114,-0.000349
20130115,0.001962
20130116,-0.000731
20130117,0.005930
20130118,0.002937
20130122,0.005188
20130123,0.000282
20130124,0.000647
20130125,0.005249
20130128,-0.001321
20130129,0.003623
20130130,-0.003873
20130131,-0.000788
20130201,0.009287
20130204,-0.011041
20130205,0.009266
20130206,0.001306
20130207,-0.002113
20130208,0.005393
20130211,-0.001001
20130212,0.002186
20130213,0.001389
20130214,0.000845
20130215,-0.002003
20130219,0.006943
20130220,-0.013321
20130221,-0.007039
20130222,0.008683
20130225,-0.017153
20130226,0.005662
20130227,0.012273
20130228,-0.000637
20130301,0.001769
20130304,0.003659
20130305,0.009193
20130306,0.001672
20130307,0.002328
20130308,0.004898
20130311,0.002694
20130312,-0.001935
20130313,0.000792
20130314,0.005952
20130315,-0.001522
20130318,-0.005326
20130319,-0.002904
20130320,0.007242
20130321,-0.007563
20130322,0.005845
20130325,-0.003079
20130326,0.007293
20130327,-0.000121
20130328,0.004040
20130401,-0.005375
20130402,0.002714
20130403,-0.011857
20130404,0.003816
20130405,-0.003521
20130408,0.006634
20130409,0.003710
20130410,0.011619
20130411,0.003197
20130412,-0.003771
20130415,-0.025582
20130416,0.014669
20130417,-0.014675
20130418,-0.005714
20130419,0.009362
20130422,0.004275
20130423,0.010147
20130424,0.002184
20130425,0.004948
20130426,-0.002473
20130429,0.007371
20130430,0.004088
20130501,-0.010620
20130502,0.009487
20130503,0.010387
20130506,0.002554
20130507,0.005139
20130508,0.005018
20130509,-0.003687
20130510,0.004661
20130513,-0.000631
20130514,0.009348
20130515,0.003951
20130516,-0.004598
20130517,0.009400
20130520,0.000624
20130521,0.001611
20130522,-0.009643
20130523,-0.002435
20130524,-0.001021
20130528,0.006295
20130529,-0.006972
20130530,0.004204
20130531,-0.013569
20130603,0.004655
20130604,-0.005564
20130605,-0.013407
20130606,0.008981
20130607,0.011377
20130610,0.000191
20130611,-0.010882
20130612,-0.008128
20130613,0.015053
20130614,-0.005377
20130617,0.007181
20130618,0.007361
20130619,-0.013412
20130620,-0.025753
20130621,0.001448
20130624,-0.012324
20130625,0.010332
20130626,0.008924
20130627,0.008116
20130628,-0.002799
20130701,0.006726
20130702,-0.001399
20130703,0.000415
20130705,0.009024
20130708,0.005169
20130709,0.007721
20130710,0.000647
20130711,0.014627
20130712,0.002477
20130715,0.002322
20130716,-0.003777
20130717,0.002995
20130718,0.005452
20130719,0.001479
20130722,0.002799
20130723,-0.001169
20130724,-0.004917
20130725,0.003966
20130726,0.000144
20130729,-0.003740
20130730,0.000411
20130731,0.000197
20130801,0.012253
20130802,0.001334
20130805,-0.000732
20130806,-0.006572
20130807,-0.004528
20130808,0.005442
20130809,-0.001919
20130812,-0.000142
20130813,0.001508
20130814,-0.004087
20130815,-0.012965
20130816,-0.002934
20130819,-0.007098
